target,pred,data
0.97,0.9712565805587487,real
-0.26,0.726066839263474,real
0.78,0.9562313303780219,real
0.99,0.9292524996968007,real
0.98,0.4894634101786084,real
0.99,0.9802419435771635,real
0.93,0.92019938380623,real
0.66,0.9110115112683003,real
0.97,0.9078009389639929,real
0.98,0.9572701066923914,real
0.93,0.942335355568549,real
0.56,0.18028744202658867,real
0.87,0.9356081399274111,real
0.65,0.6095251989622371,real
0.92,0.959080643560136,real
0.52,0.7186916924588176,real
0.77,0.4143174980610332,real
0.95,0.9651791177535649,real
0.88,0.9496931569667565,real
0.24,0.12950102269668753,real
0.58,0.2862828525362555,real
0.95,0.9685764631600513,real
0.01,0.7067852643240896,real
0.97,0.8743584932934194,real
0.99,0.9317457564112245,real
0.98,0.9267883890336401,real
-0.44,-0.4093426230819204,real
-0.6,-0.6470183673430434,real
-0.56,-0.6097225466055319,real
0.08,0.05096695998604285,real
0.25,0.2297788432546941,real
-0.41,-0.4894827730871452,real
-0.58,-0.6203558758216331,real
-0.16,-0.0349281690705866,real
0.0,-0.0658722017321681,real
-0.34,-0.324303764778177,real
0.25,0.2297788432546941,real
-0.58,-0.6203558758216331,real
-0.63,-0.6987536048618894,real
-0.51,-0.5961584781449191,real
-0.16,-0.0349281690705866,real
0.61,0.6596483290255015,real
0.97,0.958133571008876,real
0.97,0.963548934322387,real
0.95,0.915330101667005,real
-0.53,-0.432409093726589,real
0.99,0.9923233263053716,real
0.97,0.9666498812478878,real
0.99,0.9858816318943221,real
0.99,0.9889801973768085,real
0.99,0.9862814685857967,real
0.98,0.9835857242916843,real
0.98,0.9206369776251507,real
1.0,0.9929393587672782,real
1.0,0.9646070062319789,real
0.99,0.9713232488205396,real
0.98,0.915178571428571,real
0.99,0.9653651865353565,real
0.99,0.9591824131694141,real
0.99,0.9641377805846857,real
0.39,0.3906129482053328,real
0.99,0.9950719417804621,real
0.73,0.6734807997587843,real
0.39,0.25099808917728844,real
0.07,-0.14163722430804823,real
-0.12,-0.001468102077582656,real
1.0,0.9978088210138705,real
1.0,0.9965877841203484,real
1.0,0.9983977066733568,real
1.0,0.9962954683244627,real
1.0,0.997641894044521,real
1.0,0.9972838239843812,real
-0.3,-0.31242912593868005,real
-0.38,-0.3983771682186846,real
0.72,0.6440622620446199,real
0.52,0.4320494499819187,real
-0.6,-0.6972483581366927,real
0.54,0.4933739502718646,real
0.64,0.5566295940375935,real
0.83,0.8569826561440276,real
0.84,0.8695124097625967,real
0.11,0.17389840629419062,real
-0.8,-0.8638251074303466,real
-0.78,-0.7608281962758239,real
0.84,0.6995078300543751,real
0.78,0.8112684991059403,real
0.87,0.697479691243062,real
0.79,0.7702764025911442,real
0.8,0.7891129836621836,real
-0.39,-0.239503610027762,real
0.63,0.613672767621173,real
0.84,0.8549765835216486,real
0.72,0.7455732559456077,real
0.7,0.6891946844850584,real
0.86,0.7357853083234835,real
-0.31,-0.2159635015651506,real
0.85,0.8020684091737325,real
-0.59,-0.1469287704136584,real
0.83,0.7169458489819324,real
0.84,0.7531344010420353,real
0.89,0.8802027136443594,real
0.3,0.3176679639453262,real
0.41,0.4189501118736062,real
0.8,0.801536345005807,real
-0.62,-0.5876217579081465,real
0.42,0.289707548741046,real
0.21,0.26062442511228673,real
0.17,0.1731371624330195,real
0.24,0.3147659780376126,real
-0.64,-0.749026687183204,real
0.11,0.14332835572653094,real
0.33,0.46932107736984274,real
0.44,0.22653564936456752,real
-0.43,-0.5757060825845937,real
-0.81,-0.7711871945060137,real
-0.78,-0.8048550573998626,real
-0.59,-0.733825879972988,real
-0.58,-0.5692677703597707,real
-0.52,-0.5339584344567524,real
-0.79,-0.7878899877902212,real
0.78,0.7908232374596207,real
-0.81,-0.8011058508499421,real
1.0,0.976765295716294,real
0.99,0.9211868701517437,real
1.0,0.993171771506381,real
1.0,0.9956318074663589,real
1.0,0.9975619606230577,real
1.0,0.9786968685520734,real
0.16,0.15090205588340194,real
0.02,0.07135020025102186,real
0.66,0.6153871144142495,real
0.51,0.2367439714238051,real
-0.13,0.050068415056190724,real
0.98,0.9704578296459652,real
0.94,0.9081718580179148,real
0.97,0.954288289634579,real
0.99,0.9783936715594144,real
0.97,0.9593844723214567,real
0.99,0.9852360814772162,real
1.0,0.988304930957952,real
0.67,0.7377978271216523,real
0.88,0.6287521986653086,real
0.79,0.7851314779471572,real
0.43,0.38744070286652244,real
0.85,0.7548883061625663,real
0.92,0.9344863165070755,real
0.9,0.9344496013464201,real
0.49,0.47356046477004404,real
0.48,0.551727921072724,real
0.95,0.9584688780049438,real
0.65,0.6006603949278644,real
0.61,0.6602269671895841,real
-0.49,-0.31029930436798026,real
0.55,0.3953835923647411,real
0.49,0.5286737817395724,real
0.48,0.45668507879092196,real
0.63,0.6744739376635458,real
0.61,0.5362528041291269,real
0.62,0.6376240622622604,real
0.93,0.9368071957996287,real
0.97,0.969911510189072,real
0.92,0.9082217988993018,real
0.87,0.8712743474613984,real
0.98,0.9644531527015187,real
0.95,0.7171118314615583,real
0.74,0.7537082793393945,real
0.86,0.8596622277971142,real
0.96,0.927084581404717,real
-0.66,-0.7704003922182467,real
0.62,0.019094432654002035,real
0.78,-0.2537184344049109,real
-0.22,-0.3198226071268766,real
0.84,0.8429299385898232,real
0.9,0.899398927855328,real
-0.59,-0.5283946453718777,real
-0.6,-0.6124012516780111,real
-0.07,-0.11886458976093123,real
0.88,0.8862967307729146,real
0.79,0.7568291450097192,real
-0.07,-0.11821717783794564,real
0.84,0.8284028637143142,real
0.64,0.6322236452940508,real
-0.3,0.8446852958308491,real
0.04,-0.8682377333694047,real
-0.87,0.3153780667132976,real
0.49,0.4872370267770666,real
0.52,0.5366566908016072,real
0.06,-0.10773138367709284,real
0.14,0.2568819648114451,real
0.6,0.5856920553511119,real
0.51,0.5205939793152644,real
0.6,0.5379463636074558,real
0.74,0.6737105951600899,real
-0.88,-0.8745097492106443,real
-0.77,-0.7594251776450861,real
0.81,0.8323860749391214,real
0.88,0.8891304793771954,real
-0.62,-0.463856062446371,real
0.71,0.7201548635779306,real
0.73,0.7294678945721428,real
0.64,0.6668543050260433,real
0.47,0.3622565219725544,real
0.89,0.8853140980027439,real
0.71,0.7119728584156415,real
0.99,0.981637280627497,real
0.99,0.9913747593366677,real
1.0,0.9976116150682618,real
0.86,0.8736329157697542,real
0.82,0.8890370717723397,real
0.71,0.7372588585042331,real
0.95,0.9581786008366731,real
0.87,0.877254172218051,real
0.82,0.8439366377697642,real
0.92,0.8954848993852741,real
0.84,0.8205122428965446,real
0.86,0.8480922321130183,real
0.88,0.8538190887310906,real
0.92,0.8995536523164598,real
-0.97,-0.9601108047620615,real
-0.94,-0.9404463279242868,real
-0.94,-0.9425935916932635,real
0.27,0.20718077866988124,real
-0.28,-0.3226675812577589,real
-0.22,-0.32972159746769475,real
-0.04,-0.41103679760444406,real
0.14,-0.2421158841774454,real
-0.33,-0.10097607725551866,real
0.05,-0.2937443609011445,real
-0.13,-0.28569905492214515,real
-0.2,-0.13202966414471895,real
-0.08,-0.2632515762064824,real
0.21,-0.16270632098726465,real
0.32,-0.4129007820076105,real
0.35,0.10419429243265257,real
0.45,-0.6006617924885316,real
0.84,-0.44444528374382625,real
-0.99,-0.9872866430839778,ai
-0.99,-0.9905859031510283,ai
-0.99,-0.9909370844269045,ai
-0.99,-0.9884982148201622,ai
-0.99,-0.9860401564293896,ai
-0.99,-0.9869688751237392,ai
-0.99,-0.9872947740141299,ai
-0.98,-0.9770378370291319,ai
-0.98,-0.9760789087214845,ai
-0.98,-0.9848156390366359,ai
-0.98,-0.9801647887670996,ai
-0.98,-0.9765615130889544,ai
-0.98,-0.9809898287439272,ai
-0.98,-0.984426304802161,ai
-0.97,-0.9701320358206975,ai
-0.97,-0.9701063248212567,ai
-0.97,-0.9688252843091263,ai
-0.97,-0.9715165528730618,ai
-0.97,-0.9720439188708722,ai
-0.97,-0.9715574333399475,ai
-0.97,-0.9670077892373429,ai
-0.96,-0.9682355371387324,ai
-0.96,-0.9583654766739352,ai
-0.96,-0.962351889278858,ai
-0.96,-0.9616878116732521,ai
-0.96,-0.9656081707509605,ai
-0.96,-0.9659907642795905,ai
-0.96,-0.9646932500709595,ai
-0.95,-0.9550648929658965,ai
-0.95,-0.9555289273538297,ai
-0.95,-0.9549159789467985,ai
-0.95,-0.9509868086230375,ai
-0.95,-0.9557004265540149,ai
-0.95,-0.9504742164687516,ai
-0.95,-0.9528849069461386,ai
-0.94,-0.9374313086474867,ai
-0.94,-0.9438270416645888,ai
-0.94,-0.940980308522893,ai
-0.94,-0.93535064153378,ai
-0.94,-0.9394090077697869,ai
-0.94,-0.9430701901876599,ai
-0.94,-0.9368092409772948,ai
-0.93,-0.9286616841821643,ai
-0.93,-0.9261855502999289,ai
-0.93,-0.9263598028694604,ai
-0.93,-0.9281404258729339,ai
-0.93,-0.9310156341201651,ai
-0.93,-0.930762525732345,ai
-0.93,-0.9342123711917447,ai
-0.92,-0.9236688458735081,ai
-0.92,-0.9182957786718815,ai
-0.92,-0.9242212613150534,ai
-0.92,-0.92033657856558,ai
-0.92,-0.9176842714566235,ai
-0.92,-0.9189155322845419,ai
-0.92,-0.9248000953123966,ai
-0.91,-0.9066520311080112,ai
-0.91,-0.9099889874253198,ai
-0.91,-0.9064452394329305,ai
-0.91,-0.9479099477177483,ai
-0.91,-0.9097302852350314,ai
-0.91,-0.9133395327769764,ai
-0.91,-0.9077844130969536,ai
-0.9,-0.9032327837041317,ai
-0.9,-0.8970901531887528,ai
-0.9,-0.8966307337307894,ai
-0.9,-0.9047332395791767,ai
-0.9,-0.9030052921567382,ai
-0.9,-0.8985730241506986,ai
-0.9,-0.8973988799410622,ai
-0.89,-0.8886939027045873,ai
-0.89,-0.890475900707123,ai
-0.89,-0.8872179910168732,ai
-0.89,-0.8857857201046526,ai
-0.89,-0.8921728741366394,ai
-0.89,-0.8908411017417723,ai
-0.89,-0.8896449981764093,ai
-0.88,-0.8869593044316404,ai
-0.88,-0.8775166669677417,ai
-0.88,-0.8909242661515476,ai
-0.88,-0.8763352367735536,ai
-0.88,-0.8789382919338462,ai
-0.88,-0.8777004337650698,ai
-0.88,-0.8777214473197146,ai
-0.87,-0.8720490471340879,ai
-0.87,-0.86936254909075,ai
-0.87,-0.8734289467531088,ai
-0.87,-0.8712636015194624,ai
-0.87,-0.8744208355762719,ai
-0.87,-0.8748429859123823,ai
-0.87,-0.8738216734268126,ai
-0.86,-0.8720743450701871,ai
-0.86,-0.8588967089437979,ai
-0.86,-0.8706755310519325,ai
-0.86,-0.8667742647260955,ai
-0.86,-0.8806059373794612,ai
-0.86,-0.8638380423496015,ai
-0.86,-0.857879699520392,ai
-0.85,-0.8466564277323754,ai
-0.85,-0.8485282189542129,ai
-0.85,-0.8535662537402621,ai
-0.85,-0.8541344257706182,ai
-0.85,-0.8374535642714357,ai
-0.85,-0.8501064836279443,ai
-0.85,-0.8602817184912135,ai
-0.84,-0.8488280619443144,ai
-0.84,-0.8523531647993289,ai
-0.84,-0.8431004459834731,ai
-0.84,-0.8457523402057845,ai
-0.84,-0.8467912313713395,ai
-0.84,-0.8434076035651272,ai
-0.84,-0.8425880035702847,ai
-0.83,-0.8320723188973382,ai
-0.83,-0.8342051138883565,ai
-0.83,-0.8303255367782596,ai
-0.83,-0.8317826559915217,ai
-0.83,-0.8322712340864058,ai
-0.83,-0.8331318318964842,ai
-0.83,-0.8288221180405484,ai
-0.82,-0.8211516841452141,ai
-0.82,-0.8170851067938839,ai
-0.82,-0.8485592776321025,ai
-0.82,-0.8211455851365929,ai
-0.82,-0.8340923598293104,ai
-0.82,-0.8303213633120266,ai
-0.82,-0.8170122279627589,ai
-0.81,-0.8273353583895466,ai
-0.81,-0.8183434756526211,ai
-0.81,-0.8188781312177447,ai
-0.81,-0.8174147877933439,ai
-0.81,-0.8107837852834837,ai
-0.81,-0.8144997737122606,ai
-0.81,-0.8128179122067118,ai
-0.8,-0.8074487114469603,ai
-0.8,-0.8063013117752813,ai
-0.8,-0.8071648341163102,ai
-0.8,-0.8041319574713786,ai
-0.8,-0.8049022550917296,ai
-0.8,-0.7990680322390101,ai
-0.8,-0.8090628716326315,ai
-0.79,-0.8182311539168676,ai
-0.79,-0.8040788702317357,ai
-0.79,-0.7900596540114061,ai
-0.79,-0.7978375573623784,ai
-0.79,-0.7967432134801313,ai
-0.79,-0.79897016151747,ai
-0.79,-0.7923018130617996,ai
-0.78,-0.7912460664257903,ai
-0.78,-0.7893307099577335,ai
-0.78,-0.7842123041947867,ai
-0.78,-0.7883789289307637,ai
-0.78,-0.7804722850714816,ai
-0.78,-0.8065934885080215,ai
-0.78,-0.7794708340547076,ai
-0.77,-0.7799115659752073,ai
-0.77,-0.7743178584710162,ai
-0.77,-0.7734773901377222,ai
-0.77,-0.7750185324763266,ai
-0.77,-0.7752341520335404,ai
-0.77,-0.7715000058753111,ai
-0.77,-0.7712941637587114,ai
-0.76,-0.7641449588333122,ai
-0.76,-0.7759545991962487,ai
-0.76,-0.7682359623327664,ai
-0.76,-0.7659787711814134,ai
-0.76,-0.7632791482127679,ai
-0.76,-0.7751190052745879,ai
-0.76,-0.7701542605613405,ai
-0.75,-0.7671168172755006,ai
-0.75,-0.7557555762450568,ai
-0.75,-0.7602930611964969,ai
-0.75,-0.7501583805668918,ai
-0.75,-0.7564758093017733,ai
-0.75,-0.7573666232160168,ai
-0.75,-0.7619567372904269,ai
-0.74,-0.752356405022626,ai
-0.74,-0.7410190147492571,ai
-0.74,-0.743924595946124,ai
-0.74,-0.7707501838605431,ai
-0.74,-0.7378309980439073,ai
-0.74,-0.7677784146321318,ai
-0.74,-0.77543739418605,ai
-0.73,-0.7370835564634346,ai
-0.73,-0.7458851186878187,ai
-0.73,-0.734302430014365,ai
-0.73,-0.7475001198062909,ai
-0.73,-0.7391447872855699,ai
-0.73,-0.7594087908998113,ai
-0.73,-0.7331247037719547,ai
-0.72,-0.726827131641453,ai
-0.72,-0.7781218900212813,ai
-0.72,-0.7258850534357297,ai
-0.72,-0.7279374833654289,ai
-0.72,-0.7429945889659255,ai
-0.72,-0.7320624453165301,ai
-0.72,-0.721285983508554,ai
-0.71,-0.7186534013439182,ai
-0.71,-0.7194574721834855,ai
-0.71,-0.7180428582759177,ai
-0.71,-0.7204585984476816,ai
-0.71,-0.7193367232971608,ai
-0.71,-0.7166639423678102,ai
-0.71,-0.7106069332853219,ai
-0.7,-0.7016665734664529,ai
-0.7,-0.7015165794479711,ai
-0.7,-0.7069252165508453,ai
-0.7,-0.7006376400082152,ai
-0.7,-0.6991271242386832,ai
-0.7,-0.7048479684650273,ai
-0.7,-0.6980774200861185,ai
-0.69,-0.7071393684507634,ai
-0.69,-0.6988749509647676,ai
-0.69,-0.7005372988729722,ai
-0.69,-0.6996993684353227,ai
-0.69,-0.6938588332001033,ai
-0.69,-0.7125272569186247,ai
-0.69,-0.6988641471706115,ai
-0.68,-0.6836752238689762,ai
-0.68,-0.6903846304512568,ai
-0.68,-0.6849373249077502,ai
-0.68,-0.689775128559066,ai
-0.68,-0.6973981902944192,ai
-0.68,-0.6902078763965795,ai
-0.68,-0.6858788474669505,ai
-0.67,-0.6730553015099199,ai
-0.67,-0.7081882609866174,ai
-0.67,-0.6741571511002099,ai
-0.67,-0.6819488589799869,ai
-0.67,-0.7292834164412194,ai
-0.67,-0.6797722888555817,ai
-0.67,-0.6816899091300441,ai
-0.66,-0.66222147705451,ai
-0.66,-0.7037495156957174,ai
-0.66,-0.6626841199193375,ai
-0.66,-0.6667947140187119,ai
-0.66,-0.6857252833239056,ai
-0.66,-0.6563360709060607,ai
-0.66,-0.6667605506195065,ai
-0.65,-0.6513270943348163,ai
-0.65,-0.6690371277141433,ai
-0.65,-0.6490058741193705,ai
-0.65,-0.6820276135671249,ai
-0.65,-0.6702891215255784,ai
-0.65,-0.6537758451300099,ai
-0.65,-0.6687177269181894,ai
-0.64,-0.6051729613574144,ai
-0.64,-0.6415146562702652,ai
-0.64,-0.6646110704579801,ai
-0.64,-0.6638511103496635,ai
-0.64,-0.6669219334691548,ai
-0.64,-0.6523327578416129,ai
-0.64,-0.6459907753259099,ai
-0.63,-0.6383695351456353,ai
-0.63,-0.6292943049528125,ai
-0.63,-0.6391988555520506,ai
-0.63,-0.659484353960211,ai
-0.63,-0.650044016378699,ai
-0.63,-0.6424934813343168,ai
-0.63,-0.6600284112497032,ai
-0.62,-0.6230050783800136,ai
-0.62,-0.6261330073331317,ai
-0.62,-0.640514198674918,ai
-0.62,-0.6197777328432361,ai
-0.62,-0.6311911660595915,ai
-0.62,-0.6208550619817071,ai
-0.62,-0.6294375518099157,ai
-0.61,-0.641363322840506,ai
-0.61,-0.6161410231082126,ai
-0.61,-0.6167576455310757,ai
-0.61,-0.6225258682399233,ai
-0.61,-0.6099045180316576,ai
-0.61,-0.6117455378060865,ai
-0.61,-0.6311050017303291,ai
-0.6,-0.6190045497213007,ai
-0.6,-0.6038043455718712,ai
-0.6,-0.611949200843767,ai
-0.6,-0.6296396295064943,ai
-0.6,-0.6853076319122161,ai
-0.6,-0.6102164406032389,ai
-0.6,-0.6136686325396713,ai
-0.59,-0.590841492459367,ai
-0.59,-0.6026008932515757,ai
-0.59,-0.6008759626899388,ai
-0.59,-0.605476119793375,ai
-0.59,-0.5962470265965608,ai
-0.59,-0.6026584878212894,ai
-0.59,-0.5965233815246982,ai
-0.58,-0.5892003328351517,ai
-0.58,-0.5755095993448502,ai
-0.58,-0.5853312184208176,ai
-0.58,-0.5797666634675538,ai
-0.58,-0.6158547935833854,ai
-0.58,-0.5800678633085488,ai
-0.58,-0.5890465238797872,ai
